[Node 1] Packet: 90, TX: UDP, Port: 49153, Time: 3.41356, Size: 1052, Offset=0
[Node 0] Packet: 90, RX: UDP, Port: 49153, Time: 3.41627, Size: 1052, Offset=0
[Node 0] Packet: 91, TX: UDP, Port: 9, Time: 3.5, Size: 1052, Offset=0
[Node 1] Packet: 91, RX: UDP, Port: 9, Time: 3.50271, Size: 1052, Offset=0
[Node 1] Packet: 91, TX: UDP, Port: 9, Time: 3.50271, Size: 1052, Offset=0
[Node 4] Packet: 91, RX: UDP, Port: 9, Time: 3.50542, Size: 1052, Offset=0
[Node 4] Packet: 91, TX: UDP, Port: 9, Time: 3.50542, Size: 1052, Offset=0
[Node 5] Packet: 91, RX: UDP, Port: 9, Time: 3.50814, Size: 1052, Offset=0
[Node 5] Packet: 91, TX: UDP, Port: 49153, Time: 3.50814, Size: 1052, Offset=0
[Node 4] Packet: 91, RX: UDP, Port: 49153, Time: 3.51085, Size: 1052, Offset=0
[Node 4] Packet: 91, TX: UDP, Port: 49153, Time: 3.51085, Size: 1052, Offset=0
[Node 1] Packet: 91, RX: UDP, Port: 49153, Time: 3.51356, Size: 1052, Offset=0
[Node 1] Packet: 91, TX: UDP, Port: 49153, Time: 3.51356, Size: 1052, Offset=0
[Node 0] Packet: 91, RX: UDP, Port: 49153, Time: 3.51627, Size: 1052, Offset=0
[Node 0] Packet: 92, TX: UDP, Port: 9, Time: 3.6, Size: 1052, Offset=0
[Node 1] Packet: 92, RX: UDP, Port: 9, Time: 3.60271, Size: 1052, Offset=0
[Node 1] Packet: 92, TX: UDP, Port: 9, Time: 3.60271, Size: 1052, Offset=0
[Node 4] Packet: 92, RX: UDP, Port: 9, Time: 3.60542, Size: 1052, Offset=0
[Node 4] Packet: 92, TX: UDP, Port: 9, Time: 3.60542, Size: 1052, Offset=0
[Node 5] Packet: 92, RX: UDP, Port: 9, Time: 3.60814, Size: 1052, Offset=0
[Node 5] Packet: 92, TX: UDP, Port: 49153, Time: 3.60814, Size: 1052, Offset=0
[Node 4] Packet: 92, RX: UDP, Port: 49153, Time: 3.61085, Size: 1052, Offset=0
[Node 4] Packet: 92, TX: UDP, Port: 49153, Time: 3.61085, Size: 1052, Offset=0
[Node 1] Packet: 92, RX: UDP, Port: 49153, Time: 3.61356, Size: 1052, Offset=0
[Node 1] Packet: 92, TX: UDP, Port: 49153, Time: 3.61356, Size: 1052, Offset=0
[Node 0] Packet: 92, RX: UDP, Port: 49153, Time: 3.61627, Size: 1052, Offset=0
[Node 2] Packet: 93, TX: UDP, Port: 520, Time: 3.64235, Size: 132, Offset=0
[Node 2] Packet: 94, TX: UDP, Port: 520, Time: 3.64235, Size: 132, Offset=0
[Node 3] Packet: 93, RX: UDP, Port: 520, Time: 3.64359, Size: 132, Offset=0
[Node 0] Packet: 94, RX: UDP, Port: 520, Time: 3.64359, Size: 132, Offset=0
[Node 0] Packet: 95, TX: UDP, Port: 9, Time: 3.7, Size: 1052, Offset=0
[Node 1] Packet: 95, RX: UDP, Port: 9, Time: 3.70271, Size: 1052, Offset=0
[Node 1] Packet: 95, TX: UDP, Port: 9, Time: 3.70271, Size: 1052, Offset=0
[Node 4] Packet: 95, RX: UDP, Port: 9, Time: 3.70542, Size: 1052, Offset=0
[Node 4] Packet: 95, TX: UDP, Port: 9, Time: 3.70542, Size: 1052, Offset=0
