Node,Packet,Direction,Protocol,Port,Time,Size,Offset,src IP,dest IP
14,95,RX,UDP,520,2.19532,172,0,192.166.1.103,192.166.1.104
14,95,TX,UDP,520,2.19532,172,0,192.166.1.103,192.166.1.104
11,49,RX,UDP,520,2.19548,232,0,192.166.1.108,192.166.1.107
11,49,TX,UDP,520,2.19548,232,0,192.166.1.108,192.166.1.107
14,162,RX,UDP,520,2.19566,152,0,192.166.1.29,192.166.1.30
14,162,TX,UDP,520,2.19566,152,0,192.166.1.29,192.166.1.30
12,17,RX,UDP,520,2.19574,212,0,192.166.1.34,192.166.1.33
12,17,TX,UDP,520,2.19574,212,0,192.166.1.34,192.166.1.33
14,102,RX,UDP,520,2.19594,172,0,192.166.1.95,192.166.1.96
14,102,TX,UDP,520,2.19594,172,0,192.166.1.95,192.166.1.96
11,97,RX,UDP,520,2.19596,292,0,192.166.1.109,192.166.1.110
11,97,TX,UDP,520,2.19596,292,0,192.166.1.109,192.166.1.110
14,161,RX,UDP,520,2.19625,192,0,192.166.1.17,192.166.1.18
14,161,TX,UDP,520,2.19625,192,0,192.166.1.17,192.166.1.18
11,166,RX,UDP,520,2.19643,292,0,192.166.1.60,192.166.1.59
11,166,TX,UDP,520,2.19643,292,0,192.166.1.60,192.166.1.59
14,164,RX,UDP,520,2.19646,132,0,192.166.1.52,192.166.1.51
14,164,TX,UDP,520,2.19646,132,0,192.166.1.52,192.166.1.51
14,165,RX,UDP,520,2.19674,172,0,192.166.1.58,192.166.1.57
14,165,TX,UDP,520,2.19674,172,0,192.166.1.58,192.166.1.57
11,74,RX,UDP,520,2.1968,232,0,192.166.1.12,192.166.1.11
11,74,TX,UDP,520,2.1968,232,0,192.166.1.12,192.166.1.11
11,51,RX,UDP,520,2.19701,132,0,192.166.1.79,192.166.1.80
11,51,TX,UDP,520,2.19701,132,0,192.166.1.79,192.166.1.80
13,77,RX,UDP,520,2.19706,232,0,192.166.1.10,192.166.1.9
13,77,TX,UDP,520,2.19706,232,0,192.166.1.10,192.166.1.9
14,151,RX,UDP,520,2.19708,212,0,192.166.1.22,192.166.1.21
14,151,TX,UDP,520,2.19708,212,0,192.166.1.22,192.166.1.21
14,45,RX,UDP,520,2.19736,172,0,192.166.1.80,192.166.1.79
14,45,TX,UDP,520,2.19736,172,0,192.166.1.80,192.166.1.79
11,80,RX,UDP,520,2.19739,172,0,192.166.1.2,192.166.1.1
11,80,TX,UDP,520,2.19739,172,0,192.166.1.2,192.166.1.1
12,48,RX,UDP,520,2.19762,232,0,192.166.1.104,192.166.1.103
12,48,TX,UDP,520,2.19762,232,0,192.166.1.104,192.166.1.103
14,149,RX,UDP,520,2.19783,292,0,192.166.1.26,192.166.1.25
14,149,TX,UDP,520,2.19783,292,0,192.166.1.26,192.166.1.25
11,75,RX,UDP,520,2.19786,292,0,192.166.1.8,192.166.1.7
11,75,TX,UDP,520,2.19786,292,0,192.166.1.8,192.166.1.7
14,99,RX,UDP,520,2.19811,172,0,192.166.1.9,192.166.1.10
14,99,TX,UDP,520,2.19811,172,0,192.166.1.9,192.166.1.10
11,116,RX,UDP,520,2.19836,312,0,192.166.1.90,192.166.1.89
11,116,TX,UDP,520,2.19836,312,0,192.166.1.90,192.166.1.89
14,160,RX,UDP,520,2.19845,212,0,192.166.1.54,192.166.1.53
14,160,TX,UDP,520,2.19845,212,0,192.166.1.54,192.166.1.53
11,140,RX,UDP,520,2.19857,132,0,192.166.1.66,192.166.1.65
11,140,TX,UDP,520,2.19857,132,0,192.166.1.66,192.166.1.65
14,49,RX,UDP,520,2.19883,232,0,192.166.1.108,192.166.1.107
14,49,TX,UDP,520,2.19883,232,0,192.166.1.108,192.166.1.107
11,146,RX,UDP,520,2.19885,172,0,192.166.1.72,192.166.1.71
11,146,TX,UDP,520,2.19885,172,0,192.166.1.72,192.166.1.71
11,50,RX,UDP,520,2.19929,272,0,192.166.1.102,192.166.1.101
11,50,TX,UDP,520,2.19929,272,0,192.166.1.102,192.166.1.101
14,97,RX,UDP,520,2.1993,292,0,192.166.1.109,192.166.1.110
14,97,TX,UDP,520,2.1993,292,0,192.166.1.109,192.166.1.110
13,138,RX,UDP,520,2.19942,292,0,192.166.1.76,192.166.1.75
13,138,TX,UDP,520,2.19942,292,0,192.166.1.76,192.166.1.75
12,42,RX,UDP,520,2.19949,232,0,192.166.1.82,192.166.1.81
12,42,TX,UDP,520,2.19949,232,0,192.166.1.82,192.166.1.81
11,142,RX,UDP,520,2.19957,172,0,192.166.1.3,192.166.1.4
11,142,TX,UDP,520,2.19957,172,0,192.166.1.3,192.166.1.4
14,166,RX,UDP,520,2.19977,292,0,192.166.1.60,192.166.1.59
14,166,TX,UDP,520,2.19977,292,0,192.166.1.60,192.166.1.59
11,145,RX,UDP,520,2.19988,192,0,192.166.1.19,192.166.1.20
11,145,TX,UDP,520,2.19988,192,0,192.166.1.19,192.166.1.20
14,74,RX,UDP,520,2.20014,232,0,192.166.1.12,192.166.1.11
14,74,TX,UDP,520,2.20014,232,0,192.166.1.12,192.166.1.11
14,51,RX,UDP,520,2.20036,132,0,192.166.1.79,192.166.1.80
14,51,TX,UDP,520,2.20036,132,0,192.166.1.79,192.166.1.80
11,129,RX,UDP,520,2.20038,312,0,192.166.1.100,192.166.1.99
11,129,TX,UDP,520,2.20038,312,0,192.166.1.100,192.166.1.99
11,111,RX,UDP,520,2.20066,172,0,192.166.1.39,192.166.1.40
11,111,TX,UDP,520,2.20066,172,0,192.166.1.39,192.166.1.40
14,80,RX,UDP,520,2.20073,172,0,192.166.1.2,192.166.1.1
14,80,TX,UDP,520,2.20073,172,0,192.166.1.2,192.166.1.1
11,144,RX,UDP,520,2.201,212,0,192.166.1.68,192.166.1.67
11,144,TX,UDP,520,2.201,212,0,192.166.1.68,192.166.1.67
14,75,RX,UDP,520,2.2012,292,0,192.166.1.8,192.166.1.7
14,75,TX,UDP,520,2.2012,292,0,192.166.1.8,192.166.1.7
12,56,RX,UDP,520,2.2012,212,0,192.166.1.112,192.166.1.111
12,56,TX,UDP,520,2.2012,212,0,192.166.1.112,192.166.1.111
13,63,RX,UDP,520,2.20129,232,0,192.166.1.110,192.166.1.109
13,63,TX,UDP,520,2.20129,232,0,192.166.1.110,192.166.1.109
11,137,RX,UDP,520,2.20147,292,0,192.166.1.74,192.166.1.73
11,137,TX,UDP,520,2.20147,292,0,192.166.1.74,192.166.1.73
14,116,RX,UDP,520,2.2017,312,0,192.166.1.90,192.166.1.89
14,116,TX,UDP,520,2.2017,312,0,192.166.1.90,192.166.1.89
11,53,RX,UDP,520,2.20181,212,0,192.166.1.85,192.166.1.86
11,53,TX,UDP,520,2.20181,212,0,192.166.1.85,192.166.1.86
14,140,RX,UDP,520,2.20192,132,0,192.166.1.66,192.166.1.65
14,140,TX,UDP,520,2.20192,132,0,192.166.1.66,192.166.1.65
11,113,RX,UDP,520,2.20212,192,0,192.166.1.21,192.166.1.22
11,113,TX,UDP,520,2.20212,192,0,192.166.1.21,192.166.1.22
14,146,RX,UDP,520,2.20219,172,0,192.166.1.72,192.166.1.71
14,146,TX,UDP,520,2.20219,172,0,192.166.1.72,192.166.1.71
11,115,RX,UDP,520,2.2024,172,0,192.166.1.86,192.166.1.85
